cue,ftype,qid,question,response
alligator,nonvisual,1,Is it an animal?,yes
alligator,nonvisual,2,Is it a reptile?,yes
alligator,nonvisual,3,Does it live in swamps?,yes
alligator,nonvisual,4,Does it live in water?,yes
alligator,nonvisual,5,Does it eat people?,yes
alligator,visual,1,Is it green?,yes
alligator,visual,2,Is it long?,yes
alligator,visual,3,Does it have scales?,yes
alligator,visual,4,Does it have a tail?,yes
alligator,visual,5,Does it have jaws?,yes
apple,nonvisual,1,Is it a fruit?,yes
apple,nonvisual,2,Does it grow on trees?,yes
apple,nonvisual,3,Is it eaten in pies?,yes
apple,nonvisual,4,Is it nutritious?,yes
apple,nonvisual,5,Is it used for cider?,yes
apple,visual,1,Is it red?,yes
apple,visual,2,Is it green?,yes
apple,visual,3,Does it have seeds?,yes
apple,visual,4,Is it round?,yes
apple,visual,5,Does it have a core?,yes
banana,nonvisual,1,Is it a fruit?,yes
banana,nonvisual,2,Does it taste good?,yes
banana,nonvisual,3,Does it grow in tropical climates?,yes
banana,nonvisual,4,Is it healthy?,yes
banana,visual,1,Is it yellow?,yes
banana,visual,2,Is it long?,yes
banana,visual,3,Does it have a peel?,yes
banana,visual,4,Does it have a skin?,yes
bike,nonvisual,1,Is is used for riding?,yes
bike,nonvisual,2,Is it used for racing?,yes
bike,nonvisual,3,Does it have different speeds?,yes
bike,nonvisual,4,Is it fast?,yes
bike,visual,1,Does it have handle bars?,yes
bike,visual,2,Does it have a seat?,yes
bike,visual,3,Does it have gears?,yes
bike,visual,4,Is it made of metal?,yes
bottle,nonvisual,1,Is it used for holding things?,yes
bottle,nonvisual,2,Is it used for holding liquids?,yes
bottle,nonvisual,3,Is it a container?,yes
bottle,nonvisual,4,Is it breakable?,yes
bottle,nonvisual,5,Is it used for holding beer?,yes
bottle,visual,1,Is it made of glass?,yes
bottle,visual,2,Is it made of plastic?,yes
bottle,visual,3,Does it have a lid?,yes
bottle,visual,4,Does it have a neck?,yes
bottle,visual,5,Does it have a cork?,yes
camel,nonvisual,1,Does it live in the desert?,yes
camel,nonvisual,2,Does it drink water?,yes
camel,nonvisual,3,Is it used by riding?,yes
camel,nonvisual,4,Is it a mammal?,yes
camel,nonvisual,5,Does it spit?,yes
camel,visual,1,Does it have a hump?,yes
camel,visual,2,Is it brown?,yes
camel,visual,3,Does it have legs?,yes
camel,visual,4,Is it large?,yes
camel,visual,5,Is it beige?,yes
carrot,nonvisual,1,Is it a vegetable?,yes
carrot,nonvisual,2,Is it eaten by rabbits?,yes
carrot,nonvisual,3,Does it grow underground?,yes
carrot,nonvisual,4,Is it a root?,yes
carrot,visual,1,Is it orange?,yes
carrot,visual,2,Does it have a top?,yes
carrot,visual,3,Is it long?,yes
carrot,visual,4,Does it have a pointed end?,yes
chair,nonvisual,1,Is it used for sitting on?,yes
chair,nonvisual,2,Is it furniture?,yes
chair,nonvisual,3,Is it comfortable?,yes
chair,nonvisual,4,Is it used for relaxing?,yes
chair,nonvisual,5,Is it found at tables?,yes
chair,visual,1,Does it have legs?,yes
chair,visual,2,Is it made of wood?,yes
chair,visual,3,Does it have armrests?,yes
chair,visual,4,Does it have a seat?,yes
chair,visual,5,Does it have a cushion?,yes
chicken,nonvisual,1,Does it lay eggs?,yes
chicken,nonvisual,2,Does it live on a farm?,yes
chicken,nonvisual,3,Does it eat grain?,yes
chicken,nonvisual,4,Is it eaten by frying?,yes
chicken,nonvisual,5,Does it live in a coop?,yes
chicken,visual,1,Does it have feathers?,yes
chicken,visual,2,Does it have wings?,yes
chicken,visual,3,Does it have a beak?,yes
chicken,visual,4,Does it have legs?,yes
deer,nonvisual,1,Is it hunted by people?,yes
deer,nonvisual,2,Is it fast?,yes
deer,nonvisual,3,Is it a mammal?,yes
deer,nonvisual,4,Is it an herbivore?,yes
deer,nonvisual,5,Is it timid?,yes
deer,visual,1,Does it have antlers?,yes
deer,visual,2,Does it have four legs?,yes
deer,visual,3,Does it have eyes?,yes
deer,visual,4,Does it have hooves?,yes
deer,visual,5,Does it have a white tail?,yes
dog,nonvisual,1,Does it bark?,yes
dog,nonvisual,2,Is it an animal?,yes
dog,nonvisual,3,Is it a pet?,yes
dog,nonvisual,4,Is it used for protection?,yes
dog,nonvisual,5,Does it chase cats?,yes
dog,visual,1,Does it have four legs?,yes
dog,visual,2,Does it have legs?,yes
dog,visual,3,Does it have a tail?,yes
dog,visual,4,Does it have hair?,yes
dog,visual,5,Does it have a nose?,yes
donkey,nonvisual,1,Is it an animal?,yes
donkey,nonvisual,2,Is it like a horse?,yes
donkey,nonvisual,3,Is it a mammal?,yes
donkey,nonvisual,4,Is it furry?,yes
donkey,nonvisual,5,Does it make noises?,yes
donkey,visual,1,Does it have legs?,yes
donkey,visual,2,Does it have four legs?,yes
donkey,visual,3,Does it have a tail?,yes
donkey,visual,4,Does it have hooves?,yes
elephant,nonvisual,1,Is it an animal?,yes
elephant,nonvisual,2,Does it live in Africa?,yes
elephant,nonvisual,3,Does it live in zoos?,yes
elephant,nonvisual,4,Is it used in circuses?,yes
elephant,nonvisual,5,Does it eat peanuts?,yes
elephant,visual,1,Is it grey?,yes
elephant,visual,2,Does it have ears?,yes
elephant,visual,3,Does it have four legs?,yes
elephant,visual,4,Does it have a tail?,yes
elephant,visual,5,Does it have large ears?,yes
giraffe,nonvisual,1,Does it eat leaves?,yes
giraffe,nonvisual,2,Does it live in Africa?,yes
giraffe,nonvisual,3,Does it live in zoos?,yes
giraffe,nonvisual,4,Is it a mammal?,yes
giraffe,visual,1,Does it have spots?,yes
giraffe,visual,2,Is it tall?,yes
giraffe,visual,3,Does it have long legs?,yes
giraffe,visual,4,Is it brown?,yes
grasshopper,nonvisual,1,Is it an insect?,yes
grasshopper,nonvisual,2,Does it live in grass?,yes
grasshopper,nonvisual,3,Is it found in summer?,yes
grasshopper,nonvisual,4,Does it fly?,yes
grasshopper,visual,1,Is it green?,yes
grasshopper,visual,2,Does it have legs?,yes
grasshopper,visual,3,Does it have long legs?,yes
grasshopper,visual,4,Does it have antennae?,yes
jacket,nonvisual,1,Is it clothing?,yes
jacket,nonvisual,2,Is it worn in cold temperatures?,yes
jacket,nonvisual,3,Is it worn in winter?,yes
jacket,nonvisual,4,Is it worn for the rain?,yes
jacket,visual,1,Does it have a zipper?,yes
jacket,visual,2,Does it have pockets?,yes
jacket,visual,3,Does it have a hood?,yes
jacket,visual,4,Does it have sleeves?,yes
lion,nonvisual,1,Is it an animal?,yes
lion,nonvisual,2,Is it a carnivore?,yes
lion,nonvisual,3,Is it a mammal?,yes
lion,nonvisual,4,Does it live in jungles?,yes
lion,nonvisual,5,Does it roar?,yes
lion,visual,1,Does it have a mane?,yes
lion,visual,2,Does it have fur?,yes
lion,visual,3,Does it have a tail?,yes
lion,visual,4,Does it have teeth?,yes
mouse,nonvisual,1,Is it a rodent?,yes
mouse,nonvisual,2,Is it an animal?,yes
mouse,nonvisual,3,Does it eat?,yes
mouse,nonvisual,4,Is it used in experiments?,yes
mouse,nonvisual,5,Does it eat cheese?,yes
mouse,visual,1,Does it have a tail?,yes
mouse,visual,2,Is it grey?,yes
mouse,visual,3,Does it have fur?,yes
mouse,visual,4,Does it have whiskers?,yes
penguin,nonvisual,1,Is it a bird?,yes
penguin,nonvisual,2,Is it unable to fly?,yes
penguin,nonvisual,3,Does it live in the Arctic?,yes
penguin,nonvisual,4,Does it lay eggs?,yes
penguin,nonvisual,5,Does it waddle?,yes
penguin,visual,1,Is it black?,yes
penguin,visual,2,Does it have a beak?,yes
penguin,visual,3,Does it have feet?,yes
penguin,visual,4,Does it have wings?,yes
pig,nonvisual,1,Is it an animal?,yes
pig,nonvisual,2,Does it live on farms?,yes
pig,nonvisual,3,Is it eaten as bacon?,yes
pig,nonvisual,4,Is it smelly?,yes
pig,nonvisual,5,Does it like mud?,yes
pig,visual,1,Is it pink?,yes
pig,visual,2,Does it have a tail?,yes
pig,visual,3,Does it have a snout?,yes
pig,visual,4,Does it have legs?,yes
pig,visual,5,Is it muddy?,yes
pineapple,nonvisual,1,Is it juicy?,yes
pineapple,nonvisual,2,Is it tropical?,yes
pineapple,nonvisual,3,Does it grow on trees?,yes
pineapple,nonvisual,4,Does it grow in Hawaii?,yes
pineapple,nonvisual,5,Is it prickly?,yes
pineapple,visual,1,Is it yellow?,yes
pineapple,visual,2,Does it have an inside?,yes
pineapple,visual,3,Does it have skin?,yes
pineapple,visual,4,Is it yellow inside?,yes
pineapple,visual,5,Does it have a core?,yes
rabbit,nonvisual,1,Does it hop?,yes
rabbit,nonvisual,2,Is it a pet?,yes
rabbit,nonvisual,3,Is it edible?,yes
rabbit,nonvisual,4,Is it hunted by people?,yes
rabbit,nonvisual,5,Does it eat carrots?,yes
rabbit,visual,1,Does it have ears?,yes
rabbit,visual,2,Does it have feet?,yes
rabbit,visual,3,Does it have whiskers?,yes
rabbit,visual,4,Does it have a tail?,yes
raccoon,nonvisual,1,Does it eat garbage?,yes
raccoon,nonvisual,2,Is it furry?,yes
raccoon,nonvisual,3,Is it nocturnal?,yes
raccoon,nonvisual,4,Does it produce offspring?,yes
raccoon,visual,1,Is it black?,yes
raccoon,visual,2,Does it have a tail?,yes
raccoon,visual,3,Does it have eyes?,yes
raccoon,visual,4,Does it have stripes?,yes
raccoon,visual,5,Does it have a mask?,yes
strawberry,nonvisual,1,Is it a fruit?,yes
strawberry,nonvisual,2,Does it taste sweet?,yes
strawberry,nonvisual,3,Is it used for making jam?,yes
strawberry,nonvisual,4,Does it taste good?,yes
strawberry,visual,1,Is it red?,yes
strawberry,visual,2,Does it have seeds?,yes
strawberry,visual,3,Does it have green leaves?,yes
strawberry,visual,4,Is it small?,yes
swan,nonvisual,1,Is it graceful?,yes
swan,nonvisual,2,Is it a bird?,yes
swan,nonvisual,3,Does it live on water?,yes
swan,nonvisual,4,Does it lay eggs?,yes
swan,visual,1,Does it have a long neck?,yes
swan,visual,2,Does it have a beak?,yes
swan,visual,3,Does it have feathers?,yes
swan,visual,4,Does it have wings?,yes
table,nonvisual,1,Is it used for eating on?,yes
table,nonvisual,2,Is it found in kitchens?,yes
table,nonvisual,3,Is it found in dining rooms?,yes
table,nonvisual,4,Is it furniture?,yes
table,visual,1,Is it made of wood?,yes
table,visual,2,Is it round?,yes
table,visual,3,Does it have legs?,yes
table,visual,4,Is it flat?,yes
tiger,nonvisual,1,Is it a carnivore?,yes
tiger,nonvisual,2,Is it an animal?,yes
tiger,nonvisual,3,Does it live in Africa?,yes
tiger,nonvisual,4,Does it live in zoos?,yes
tiger,nonvisual,5,Does it live in India?,yes
tiger,visual,1,Does it have stripes?,yes
tiger,visual,2,Does it have teeth?,yes
tiger,visual,3,Is it orange?,yes
tiger,visual,4,Does it have whiskers?,yes
tiger,visual,5,Does it have large teeth?,yes
toad,nonvisual,1,Does it eat?,yes
toad,nonvisual,2,Does it hop?,yes
toad,nonvisual,3,Is it an amphibian?,yes
toad,nonvisual,4,Does it eat insects?,yes
toad,visual,1,Is it green?,yes
toad,visual,2,Does it have warts?,yes
toad,visual,3,Is it small?,yes
toad,visual,4,Does it have a long tongue?,yes
train,nonvisual,1,Is it used for freight?,yes
train,nonvisual,2,Is it used for transportation?,yes
train,nonvisual,3,Does it require a conductor?,yes
train,nonvisual,4,Is it loud?,yes
train,visual,1,Does it have a caboose?,yes
train,visual,2,Does it have an engine?,yes
train,visual,3,Does it have many cars?,yes
train,visual,4,Is it made of metal?,yes
zebra,nonvisual,1,Is it an animal?,yes
zebra,nonvisual,2,Does it run fast?,yes
zebra,nonvisual,3,Does it live in Africa?,yes
zebra,nonvisual,4,Does it travel in herds?,yes
zebra,visual,1,Does it have stripes?,yes
zebra,visual,2,Does it have four legs?,yes
zebra,visual,3,Does it have hooves?,yes
zebra,visual,4,Does it have a mane?,yes
